S_shcementfloor_x,S_shcementfloor_y
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.6666666
0.25,1.0
1.0,1.0
1.0,0.25
1.0,0.0
1.0,1.0
0.8333333,0.8
1.0,1.0
0.6,1.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333
0.25,1.0
0.5,1.0
1.0,1.0
1.0,0.4285714
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
0.75,0.75
1.0,1.0
1.0,1.0
0.6666666,1.0
1.0,1.0
0.0,1.0
1.0,0.19999999
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.8333333
1.0,0.8
1.0,0.0
1.0,0.25
0.28571427,0.75
1.0,0.75
1.0,1.0
1.0,0.75
0.75,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.25,1.0
0.6,1.0
0.5,1.0
0.0,1.0
1.0,1.0
0.0,0.8
0.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,0.25
1.0,0.19999999
1.0,1.0
1.0,0.6
0.75,1.0
0.6,1.0
0.16666669,1.0
0.75,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,0.5
1.0,0.25
1.0,0.75
1.0,1.0
1.0,1.0
0.75,0.8
1.0,1.0
0.6,1.0
1.0,1.0
0.25,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,0.25
0.0,1.0
1.0,0.0
1.0,0.5
0.0,0.75
0.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
0.75,1.0
1.0,0.75
0.25,1.0
0.39999998,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
0.5,1.0
1.0,0.0
1.0,1.0
1.0,0.75
0.8333333,1.0
0.75,0.8
0.0,1.0
0.6,1.0
1.0,0.5
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.19999999
0.5,1.0
1.0,0.75
0.25,0.8
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.75
1.0,0.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
1.0,0.0
0.5,1.0
0.5,0.25
0.6,1.0
0.5,1.0
1.0,0.8
0.75,0.75
1.0,1.0
1.0,1.0
1.0,0.8
1.0,0.6
1.0,0.0
1.0,1.0
0.75,1.0
1.0,0.75
1.0,1.0
1.0,0.8
0.8,1.0
1.0,1.0
1.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.25
0.8,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
0.6,1.0
0.8,1.0
1.0,1.0
1.0,0.75
1.0,0.0
1.0,0.25
1.0,1.0
0.6,1.0
0.3333333,1.0
1.0,0.8
0.75,1.0
0.75,0.25
1.0,1.0
0.6,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,0.75
1.0,0.8
1.0,0.25
1.0,0.5
1.0,0.25
0.25,1.0
0.5,1.0
1.0,0.0
0.8,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.75,0.19999999
1.0,1.0
0.0,1.0
1.0,0.19999999
1.0,0.6
0.75,1.0
1.0,1.0
0.6666666,1.0
1.0,0.25
1.0,1.0
0.25,1.0
1.0,1.0
1.0,1.0
0.6666666,0.8
0.0,1.0
0.0,1.0
1.0,0.75
0.75,0.75
1.0,0.3333333
1.0,1.0
1.0,1.0
1.0,0.5
1.0,0.5
1.0,1.0
0.6666666,0.85714287
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
0.6,1.0
0.6,1.0
1.0,0.6
0.5,0.25
0.5,1.0
1.0,0.0
1.0,1.0
1.0,0.8
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
0.8,0.0
1.0,0.6
0.5,1.0
1.0,1.0
1.0,0.0
0.75,0.5
1.0,0.0
0.0,1.0
1.0,0.6
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
0.75,1.0
0.25,1.0
1.0,1.0
1.0,0.0
1.0,1.0
0.5,1.0
0.6,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.8,1.0
1.0,0.75
0.8,0.8333333
1.0,0.16666669
1.0,0.75
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.75,1.0
0.8,0.19999999
0.8,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,0.0
1.0,1.0
1.0,0.5
0.6,0.8333333
1.0,1.0
0.0,0.5
1.0,1.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,0.8333333
0.75,1.0
0.0,1.0
1.0,0.75
1.0,0.6
1.0,1.0
1.0,1.0
1.0,1.0
0.6,0.8
1.0,1.0
1.0,0.0
0.75,1.0
1.0,0.75
1.0,1.0
0.5,1.0
1.0,1.0
1.0,0.0
0.75,1.0
1.0,0.8333333
