,dpisofirme,idcluster,coord_x,coord_y,idmun,idmza,C_blocksdirtfloor,C_HHdirtfloor,C_child05,C_households,C_people,C_rooms,C_HHpersons,C_waterland,C_waterhouse,C_waterbath,C_gasheater,C_refrigerator,C_washing,C_telephone,C_vehicle,C_overcrowding,C_poverty,C_illiterate,C_headeduc,C_dropouts515,C_employment,C_earnincome,S_HHpeople,S_headage,S_spouseage,S_headeduc,S_spouseeduc,S_rooms,S_waterland,S_waterhouse,S_electricity,S_cementfloor2000,S_hasanimals,S_animalsinside,S_garbage,S_washhands,S_incomepc,S_assetspc,S_shpeoplework,S_microenter,S_hrsworkedpc,S_consumptionpc,S_cashtransfers,S_milkprogram,S_foodprogram,S_dem1,S_dem2,S_dem3,S_dem4,S_dem5,S_dem6,S_dem7,S_dem8,S_seguropopular,S_shcementfloor,S_cementfloorkit,S_cementfloordin,S_cementfloorbat,S_cementfloorbed,S_satisfloor,S_satishouse,S_satislife,S_cesds,S_pss,S_instcement,S_instsanita,S_restsanita,S_constceili,S_restowalls,S_improveany,S_logrent,S_logsell
1947,1.0,350002236.0,-103.46629,25.518095,35.0,36,0.62857145,0.19543195339653996,0.5975157675406745,241.0,1075.0,2.0531128768604328,4.460578008311418,0.08298672284328097,0.19087386180751056,0.5008253034714346,0.020744813428380183,0.27924481714414856,0.4497858933888036,0.9211605812009439,0.8921153545379639,2.4878967134784364,0.20747053821057204,0.11618174482677981,5.434744356084167,0.17426763728446484,1.4813265661975654,1.4107879583271707,4.0,25.0,30.0,8.0,9.0,1,1,1,1,0.75,0.0,0.0,0.0,2.0,2604.1667,26657.8,0.25,,13.5,1458.725,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,5.857933,9.2103405
1217,0.0,120000518.0,-103.511955,25.537472,12.0,21,0.46938777,0.12422335552814913,0.7218721896220165,471.0,2099.0,2.497323773216037,4.45647770179052,0.010943099951288502,0.20815349890674503,0.30758407794239667,0.0106762209768761,0.16103736812648248,0.3144832273703978,0.751442033267578,0.6690564737704656,2.2646993689729404,0.10404076583825858,0.043070913246988994,6.655767683770247,0.11252781502000846,1.571125073038089,1.511677703533456,5.0,30.0,29.0,7.0,4.0,2,1,1,1,0.0,0.0,0.0,1.0,2.0,802.8334,18151.896,0.2,0.0,10.8,918.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,6.3969297,10.463103
1675,1.0,350001971.0,-103.40213,25.500025,35.0,53,0.63793105,0.18246161476258307,0.7741938715980899,620.0,2835.0,2.3058529030892156,4.5725798268472,0.04527241952957645,0.37851709800381816,0.40228983952153113,0.035484355303549,0.2102808077489176,0.387694836431934,0.8544595162714681,0.7880909687088382,2.451167074326546,0.14354774355888367,0.04676903274751479,6.071077039164882,0.24032274388497876,1.6193577397254206,1.5629050008712275,6.0,50.0,38.0,0.0,9.0,1,1,1,1,0.8,1.0,1.0,1.0,3.0,800.0,20248.48,0.16666667,0.0,9.0,1083.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.16666667,0.0,0.33333334,0.16666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,6.55108,11.982929
778,0.0,70001624.0,-103.50367,25.612259,7.0,9,0.8684211,0.3477257535882192,0.8575274039621222,365.0,2298.0,1.5845805547008776,6.2958852532791765,0.14246876435737088,0.5549000008465492,0.6072147898478051,0.04139561669467247,0.293312602500393,0.5207835540379564,0.9027293139941072,0.8609361713879728,3.168407103133528,0.2712339714781879,0.07720164387193444,5.993833108144264,0.2739739747896586,2.663018903340379,2.4986347851687913,3.0,20.0,0.0,2.0,,1,1,0,1,1.0,1.0,1.0,1.0,5.0,5066.6665,35689.305,0.33333334,0.0,18.333334,1071.8334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.214608,10.596635
1640,1.0,350001929.0,-103.41419,25.494915,35.0,4,0.7037037,0.17902996398846033,0.662020206451416,287.0,1207.0,2.1270867540445892,4.205567270205827,0.03275191680064185,0.2681543623528829,0.4308372852278919,0.03155261298920635,0.20820731859173924,0.4297425032492714,0.8014724740583307,0.7298344892907226,2.4330324212848518,0.14633345001665973,0.05923170806638871,5.9316463271084565,0.18466794615423224,1.3763003332689665,1.2613114978378244,3.0,26.0,24.0,10.0,9.0,2,1,1,1,1.0,0.0,0.0,1.0,5.0,2266.6667,39669.03,0.6666667,0.0,40.0,1726.8334,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,5.9914646,10.308952
762,0.0,70001624.0,-103.50367,25.612259,7.0,46,0.8684211,0.3477257535882192,0.8575274039621222,365.0,2298.0,1.5845805547008776,6.2958852532791765,0.14246876435737088,0.5549000008465492,0.6072147898478051,0.04139561669467247,0.293312602500393,0.5207835540379564,0.9027293139941072,0.8609361713879728,3.168407103133528,0.2712339714781879,0.07720164387193444,5.993833108144264,0.2739739747896586,2.663018903340379,2.4986347851687913,8.0,38.0,39.0,3.0,9.0,3,1,1,1,0.39999998,0.0,0.0,1.0,4.0,1044.0,11319.368,0.375,0.0,18.0,792.5,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.125,0.25,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,30.0,1.0,0.0,0.0,1.0,0.0,1.0,6.214608,11.289782
832,0.0,70001624.0,-103.50367,25.612259,7.0,43,0.8684211,0.3477257535882192,0.8575274039621222,365.0,2298.0,1.5845805547008776,6.2958852532791765,0.14246876435737088,0.5549000008465492,0.6072147898478051,0.04139561669467247,0.293312602500393,0.5207835540379564,0.9027293139941072,0.8609361713879728,3.168407103133528,0.2712339714781879,0.07720164387193444,5.993833108144264,0.2739739747896586,2.663018903340379,2.4986347851687913,7.0,48.0,0.0,2.0,,3,1,0,1,0.0,1.0,0.0,1.0,4.0,805.9524,14907.717,0.2857143,0.0,13.714286,496.85715,0.0,0.0,0.0,0.2857143,0.14285715,0.2857143,0.0,0.0,0.14285715,0.14285715,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7037826,10.308952
1586,1.0,350001878.0,-103.401665,25.50694,35.0,10,0.39583334,0.07142586885271845,0.6563741240262064,518.0,2119.0,2.600385317931304,4.090730685524959,0.021325675792215414,0.272381657223904,0.3165303088983514,0.013559652456445583,0.13272760607100823,0.32655250703966293,0.7561218126400097,0.6421617808028998,1.9651582936062315,0.09265984531535144,0.05597779914218947,6.790210340934371,0.14285540661296328,1.4903444157604084,1.4015442174373907,5.0,30.0,26.0,12.0,12.0,2,1,1,1,0.6,0.0,0.0,1.0,4.0,302.0,19113.045,0.2,1.0,23.0,1575.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,6.1092477,11.91839
148,0.0,70000908.0,-103.48772,25.559689,7.0,1,0.6451613,0.08512586522141634,0.6029752838552686,607.0,2914.0,2.876922720543046,4.800654491443414,0.0,0.06047100398253766,0.2814988468388553,0.0033372322456447848,0.11999967257312731,0.28226837029763463,0.6750466242260752,0.7519980199647304,1.9834772656737678,0.07083871562948336,0.06109011575849681,5.887753038861999,0.12355947278476823,1.8138514177803153,1.7594799186291765,8.0,55.0,53.0,6.0,1.0,2,1,1,1,0.8,1.0,0.0,1.0,6.0,1050.0,13337.213,0.375,0.0,22.5,439.75,0.0,0.0,0.0,0.25,0.0,0.25,0.125,0.0,0.25,0.0,0.125,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.214608,
2453,1.0,350003291.0,-103.42771,25.592184,35.0,8,0.6785714,0.4624902912713949,0.8543728161784052,103.0,404.0,1.5922261951039138,3.922331060020669,0.3786359145803359,0.8349524296603157,0.8640776722176561,0.04854660242506601,0.411639802664229,0.5805776686344332,0.932037862759192,0.7941728193783065,3.0922378382636504,0.31067572519617176,0.05825728351630054,6.316502950723889,0.12621262235548888,1.1553388104855435,1.0776689075729222,5.0,30.0,27.0,6.0,9.0,1,1,0,1,0.0,1.0,0.0,1.0,5.0,486.4,21109.406,0.2,0.0,16.8,371.06,0.0,0.0,1.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.6051702,9.903487
