,dpisofirme,idcluster,coord_x,coord_y,idmun,idmza,C_blocksdirtfloor,C_HHdirtfloor,C_child05,C_households,C_people,C_rooms,C_HHpersons,C_waterland,C_waterhouse,C_waterbath,C_gasheater,C_refrigerator,C_washing,C_telephone,C_vehicle,C_overcrowding,C_poverty,C_illiterate,C_headeduc,C_dropouts515,C_employment,C_earnincome,S_HHpeople,S_headage,S_spouseage,S_headeduc,S_spouseeduc,S_rooms,S_waterland,S_waterhouse,S_electricity,S_cementfloor2000,S_hasanimals,S_animalsinside,S_garbage,S_washhands,S_incomepc,S_assetspc,S_shpeoplework,S_microenter,S_hrsworkedpc,S_consumptionpc,S_cashtransfers,S_milkprogram,S_foodprogram,S_dem1,S_dem2,S_dem3,S_dem4,S_dem5,S_dem6,S_dem7,S_dem8,S_seguropopular,S_shcementfloor,S_cementfloorkit,S_cementfloordin,S_cementfloorbat,S_cementfloorbed,S_satisfloor,S_satishouse,S_satislife,S_cesds,S_pss,S_instcement,S_instsanita,S_restsanita,S_constceili,S_restowalls,S_improveany,S_logrent,S_logsell
2701,1.0,352650000.0,-103.40017,25.54247,35.0,48,0.3,0.02731823282582419,0.5902193627859417,1064.0,4558.0,3.1135646830824086,4.283832801015754,0.002819454927641646,0.030450469793233657,0.07555441704011501,0.006578289420533001,0.0670421994046161,0.1529659776199133,0.4671626874154672,0.5400051712093497,1.6057333726631968,0.040415977400944644,0.030074718247230788,9.00434232475166,0.07612236908503942,1.5686142847950297,1.4633464239593734,6.0,40.0,39.0,9.0,3.0,2,1,1,1,0.39999998,0.0,0.0,1.0,4.0,1084.7223,17557.625,0.33333334,0.0,16.0,594.06665,30.0,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.16666667,0.16666667,0.33333334,0.0,0.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,6.214608,10.819778
1431,1.0,350000136.0,-103.39731,25.549385,35.0,34,0.7254902,0.07727632110548353,0.6486413070610721,1571.0,7285.0,2.4688035041036915,4.637183385468986,0.013429599154306627,0.12322826126743319,0.22370044666062033,0.01477167429550676,0.14807288370490607,0.2958278817632713,0.7003393428178444,0.6997435404038748,2.3045661460055733,0.099933609963981,0.0538931893437323,6.404571732315268,0.15786906357861719,1.664536346226722,1.5334165537911262,9.0,74.0,75.0,0.0,0.0,2,1,1,1,0.0,1.0,1.0,1.0,2.0,311.1111,11732.738,0.33333334,0.0,6.111111,144.33333,0.0,0.0,0.0,0.11111111,0.22222222,0.11111111,0.11111111,0.11111111,0.0,0.22222222,0.11111111,0.0,0.8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,,9.2103405
1463,1.0,350000136.0,-103.39731,25.549385,35.0,36,0.7254902,0.07727632110548353,0.6486413070610721,1571.0,7285.0,2.4688035041036915,4.637183385468986,0.013429599154306627,0.12322826126743319,0.22370044666062033,0.01477167429550676,0.14807288370490607,0.2958278817632713,0.7003393428178444,0.6997435404038748,2.3045661460055733,0.099933609963981,0.0538931893437323,6.404571732315268,0.15786906357861719,1.664536346226722,1.5334165537911262,5.0,67.0,67.0,0.0,0.0,3,1,0,1,0.39999998,0.0,0.0,1.0,2.0,425.0,21012.475,0.2,0.0,14.4,588.98,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,6.3969297,11.289782
558,0.0,70001408.0,-103.48363,25.582026,7.0,16,0.9583333,0.17530517382868405,0.8103432520025078,696.0,3225.0,2.3143340863030533,4.6336195386689285,0.0028728448796546324,0.35646365154748677,0.4657974101003559,0.024810919388272297,0.19913865129152933,0.34595287377121803,0.8954112125539232,0.7775172368548382,2.4121807402577895,0.1752938218842978,0.07040129396422155,6.023319556795317,0.21408448496769214,1.6264422316660827,1.5344854894725757,5.0,45.0,43.0,9.0,12.0,2,1,0,1,0.0,0.0,0.0,1.0,3.0,4960.0,21389.406,0.4,0.0,20.0,376.4,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6051702,9.903487
207,0.0,70000965.0,-103.47518,25.54578,7.0,12,0.625,0.14112882088400402,0.6983899491721759,746.0,3154.0,2.3842838021449686,4.227885146562919,0.03125053660160095,0.17647372645603107,0.5148026797790629,0.044868498800906674,0.27446823081765676,0.4430218538713839,0.7787711844047976,0.7883536144491814,2.136077978016544,0.15415871399017825,0.07143793548719493,6.079119280899498,0.14209008256807404,1.581770244935882,1.453086735416034,7.0,62.0,66.0,12.0,6.0,3,1,1,1,1.0,1.0,1.0,1.0,3.0,2309.5237,15214.239,0.42857143,0.0,41.142857,759.0,0.0,0.0,0.0,0.14285715,0.14285715,0.2857143,0.14285715,0.0,0.14285715,0.0,0.14285715,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,32.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.6009026,9.903487
1372,0.0,120650000.0,-103.52683,25.517218,12.0,25,0.67391306,0.1631329898367223,0.6907177791767514,388.0,1723.0,2.0909832384168485,4.440718817956669,0.04144948444415614,0.5658902065041139,0.6101909786770024,0.034838402240546705,0.2535193319787684,0.34985154744276065,0.8677683036351941,0.7652458757469335,2.545434547146571,0.18556649583516663,0.04965618559994649,6.28084634997181,0.20361417470519075,1.5438165099350447,1.4716533459338945,5.0,34.0,30.0,6.0,4.0,1,1,0,1,1.0,0.0,0.0,1.0,3.0,480.0,21781.07,0.2,0.0,13.0,594.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,
519,0.0,70001408.0,-103.48363,25.582026,7.0,29,0.9583333,0.17530517382868405,0.8103432520025078,696.0,3225.0,2.3143340863030533,4.6336195386689285,0.0028728448796546324,0.35646365154748677,0.4657974101003559,0.024810919388272297,0.19913865129152933,0.34595287377121803,0.8954112125539232,0.7775172368548382,2.4121807402577895,0.1752938218842978,0.07040129396422155,6.023319556795317,0.21408448496769214,1.6264422316660827,1.5344854894725757,4.0,27.0,24.0,2.0,9.0,1,1,1,1,0.25,1.0,1.0,1.0,4.0,700.0,26678.592,0.25,0.0,12.0,928.75,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7037826,10.308952
2613,1.0,351120000.0,-103.4188,25.50005,35.0,65,0.7592593,0.1622926192695384,0.6852415042999395,718.0,2955.0,2.2270669870721926,4.115593450647211,0.04259972203740835,0.2070422020629256,0.35481573811480593,0.015540529260396294,0.1926626752346007,0.4269733956929369,0.8010126691010669,0.7816352312943398,2.3438096092936056,0.10863258953214024,0.04735208919121362,6.201459217868475,0.1337104463809712,1.3746508442923884,1.3091877476418583,2.0,29.0,0.0,9.0,,3,1,1,1,0.16666669,1.0,0.0,1.0,4.0,1420.8334,54637.12,0.5,0.0,30.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6.9077554,11.289782
2503,1.0,350003395.0,-103.39253,25.50197,35.0,5,1.0,0.7330395989120007,0.8750010393559933,96.0,376.0,1.300555169582367,3.916673958301544,0.3222250007092953,0.8633728971083959,0.9895875056584676,0.054090626537799835,0.5699541655679544,0.6635198071599007,0.9895802090565363,0.9140010078748068,3.152778148651123,0.4166520747045676,0.052660416811704636,6.249022881189982,0.10415208339691162,1.3229218522707622,1.2500082949797313,4.0,25.0,22.0,6.0,6.0,1,1,0,1,0.0,0.0,0.0,1.0,5.0,700.0,26400.13,0.25,0.0,13.75,782.75,41.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.521461,10.126631
255,0.0,70001164.0,-103.474724,25.604101,7.0,1,0.65957445,0.3964899150948775,0.688597369612309,228.0,991.0,2.0087653482169436,4.346489529860647,0.05262938664670576,0.6842131565014521,0.9035074543534664,0.11842061605369836,0.30701315978117155,0.48246184069859355,0.8947390380658602,0.7456118417413611,2.6374298292293883,0.28069561458470527,0.13157982575265983,5.058888594309489,0.25000263515271637,1.5701714984157629,1.4824535208835936,3.0,50.0,0.0,5.0,,1,1,0,1,1.0,0.0,0.0,0.0,5.0,981.3333,35346.33,0.33333334,1.0,18.0,991.6667,0.0,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9914646,12.100712
