,dpisofirme,idcluster,coord_x,coord_y,idmun,idmza,C_blocksdirtfloor,C_HHdirtfloor,C_child05,C_households,C_people,C_rooms,C_HHpersons,C_waterland,C_waterhouse,C_waterbath,C_gasheater,C_refrigerator,C_washing,C_telephone,C_vehicle,C_overcrowding,C_poverty,C_illiterate,C_headeduc,C_dropouts515,C_employment,C_earnincome,S_HHpeople,S_headage,S_spouseage,S_headeduc,S_spouseeduc,S_rooms,S_waterland,S_waterhouse,S_electricity,S_cementfloor2000,S_hasanimals,S_animalsinside,S_garbage,S_washhands,S_incomepc,S_assetspc,S_shpeoplework,S_microenter,S_hrsworkedpc,S_consumptionpc,S_cashtransfers,S_milkprogram,S_foodprogram,S_dem1,S_dem2,S_dem3,S_dem4,S_dem5,S_dem6,S_dem7,S_dem8,S_seguropopular,S_shcementfloor,S_cementfloorkit,S_cementfloordin,S_cementfloorbat,S_cementfloorbed,S_satisfloor,S_satishouse,S_satislife,S_cesds,S_pss,S_instcement,S_instsanita,S_restsanita,S_constceili,S_restowalls,S_improveany,S_logrent,S_logsell
978,0.0,70001893.0,-103.47332,25.565432,7.0,29,0.3243243,0.04364338177284738,0.7657884874071949,982.0,3989.0,3.057773870751717,4.062127771785448,0.018451731826525843,0.11897413302099147,0.09233492837418364,0.00407270877764327,0.060010387006456646,0.18201221874677964,0.5857931676561624,0.5347868712759309,1.5601107127312002,0.02545672114900562,0.0061200608910951014,9.427659619364379,0.0814712835426486,1.4724960230032926,1.4032533668937606,4.0,22.0,22.0,9.0,9.0,1,1,0,1,0.5,1.0,1.0,1.0,3.0,754.1667,26557.21,0.25,0.0,11.25,837.125,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7037826,10.308952
160,0.0,70000912.0,-103.482994,25.559584,7.0,51,0.5208333,0.07151241657696245,0.6241511284094093,886.0,3951.0,2.688225613759818,4.459371435453876,0.002258803586120261,0.13561873672778127,0.23450406302716878,0.014994808298201379,0.15930620730595987,0.2972147887232072,0.7304483078941535,0.7517525934473387,1.9612090334666232,0.06433781073271018,0.05417911980814105,6.426645507123616,0.1331898433494783,1.744921562633988,1.6625337536125098,4.0,31.0,30.0,4.0,9.0,1,1,0,1,0.75,1.0,0.0,1.0,5.0,600.0,26869.96,0.25,0.0,12.0,495.5,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,13.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,5.521461,10.714417
1299,0.0,120000630.0,-103.51718,25.530893,12.0,31,0.3611111,0.02942888207290273,0.6081275753082143,689.0,3029.0,2.8192301668518684,4.396222677909065,0.0029724237707772,0.09129346904976102,0.2002503647859626,0.005836865033397481,0.12009332505296727,0.2533923114159284,0.6994920171397172,0.6868957954152056,1.8696160960093637,0.06386052238577855,0.05898432556880403,6.961499218324791,0.1146545725048713,1.6269954991444449,1.5399140813354137,4.0,27.0,23.0,12.0,9.0,2,1,1,1,0.0,1.0,0.0,1.0,2.0,1245.8334,28715.812,0.25,0.0,24.0,905.975,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,6.684612,11.0021
2610,1.0,351120000.0,-103.4188,25.50005,35.0,14,0.7592593,0.1622926192695384,0.6852415042999395,718.0,2955.0,2.2270669870721926,4.115593450647211,0.04259972203740835,0.2070422020629256,0.35481573811480593,0.015540529260396294,0.1926626752346007,0.4269733956929369,0.8010126691010669,0.7816352312943398,2.3438096092936056,0.10863258953214024,0.04735208919121362,6.201459217868475,0.1337104463809712,1.3746508442923884,1.3091877476418583,6.0,28.0,23.0,9.0,6.0,2,1,0,1,0.19999999,0.0,0.0,1.0,5.0,875.3333,17606.264,0.33333334,1.0,29.666666,1047.1666,0.0,0.0,1.0,0.16666667,0.0,0.16666667,0.16666667,0.33333334,0.0,0.16666667,0.0,0.0,0.8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,28.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,6.214608,11.289782
2126,1.0,350002679.0,-103.388535,25.529284,35.0,26,0.5869565,0.1189615191537118,0.7097292900402917,751.0,3399.0,2.544910797901382,4.525959136800347,0.01897230359431748,0.15857163948638145,0.241748071383541,0.01902796290368437,0.1528484696713332,0.3271504647722257,0.6831202441144403,0.6572018631606222,2.2098893709728786,0.10385752382989571,0.06367110586991799,7.026256205714971,0.14247456728697774,1.6378279691053612,1.5059924043129669,5.0,50.0,0.0,6.0,,2,1,0,1,0.19999999,0.0,0.0,1.0,3.0,720.0,24583.617,0.4,0.0,19.2,386.172,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,6.9077554,10.714417
2236,1.0,350003018.0,-103.35951,25.519735,35.0,22,0.8181818,0.24615384607048302,0.8112000018566639,143.0,603.0,1.8839202627435432,4.216783910364538,0.02797202838884367,0.5609454508427973,0.8041999990289862,0.034965734798591455,0.2891195824929884,0.4319370643242256,0.8454594403713733,0.7376874110081812,2.6729678257361993,0.1678279704980917,0.03496293754844399,6.251755894480885,0.11888531579837933,1.3985993045193332,1.363627980639051,7.0,50.0,50.0,6.0,5.0,2,1,1,1,0.0,1.0,0.0,1.0,7.0,1160.7142,13306.419,0.42857143,0.0,20.571428,635.64996,45.714287,0.0,0.0,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.0,0.2857143,0.14285715,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0106354,10.308952
1608,1.0,350001882.0,-103.415405,25.502556,35.0,54,0.6415094,0.0929575966402908,0.6512528357134155,757.0,3363.0,2.4495290576073105,4.442536519099731,0.031702113907434826,0.16000119036695917,0.39781704218258473,0.013208982887797186,0.14841717426496578,0.3593977546439933,0.8136439947030031,0.792602238598399,2.203786507937836,0.07925508634889772,0.06340475575297165,5.673711597840726,0.19287424067052542,1.5640772866131922,1.5165215395243354,11.0,55.0,53.0,5.0,5.0,3,1,1,1,0.8333333,0.0,0.0,1.0,2.0,653.3333,8103.409,0.27272728,0.0,11.090909,326.90546,0.0,0.0,0.0,0.09090909,0.27272728,0.0,0.09090909,0.09090909,0.18181819,0.18181819,0.09090909,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.684612,11.91839
555,0.0,70001408.0,-103.48363,25.582026,7.0,19,0.9583333,0.17530517382868405,0.8103432520025078,696.0,3225.0,2.3143340863030533,4.6336195386689285,0.0028728448796546324,0.35646365154748677,0.4657974101003559,0.024810919388272297,0.19913865129152933,0.34595287377121803,0.8954112125539232,0.7775172368548382,2.4121807402577895,0.1752938218842978,0.07040129396422155,6.023319556795317,0.21408448496769214,1.6264422316660827,1.5344854894725757,7.0,40.0,39.0,6.0,9.0,1,1,0,1,0.19999999,0.0,0.0,1.0,3.0,720.1429,15048.966,0.2857143,0.0,15.428572,441.67142,0.0,1.0,0.0,0.14285715,0.2857143,0.14285715,0.0,0.14285715,0.0,0.2857143,0.0,0.0,0.39999998,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,5.7037826,10.596635
38,0.0,70000787.0,-103.48289,25.574093,7.0,31,0.5625,0.1364890570389597,0.6610500965620342,475.0,2050.0,2.6300309653031197,4.31578413712351,0.008420421198794716,0.17443221180062546,0.3984505284459967,0.02555978950701262,0.19943494834397968,0.34667621035324897,0.7649098948428505,0.7387661100688734,2.1320164449591386,0.145259789542148,0.0660869476669713,5.790566269723993,0.20632021138542578,1.522106738843416,1.3768450365568463,3.0,19.0,21.0,5.0,6.0,1,1,0,1,0.0,1.0,1.0,1.0,7.0,1333.3334,35392.293,0.33333334,0.0,16.0,1119.3334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,5.7037826,10.126631
2375,1.0,350003179.0,-103.38542,25.496017,35.0,9,0.83870965,0.6113517764395318,0.7787637098700599,226.0,910.0,1.4756858433242392,4.026545997214528,0.4307199115246798,0.8259911521346168,0.9823017711133029,0.08533141702677297,0.5424853985288501,0.6924778797985178,0.9603986740112305,0.8603588574755509,2.9177906682006025,0.4115035365113115,0.11603849572418011,5.840533644752165,0.23893362863928871,1.1371685762321,1.106197787597116,5.0,57.0,0.0,5.0,,2,1,1,1,0.0,1.0,0.0,1.0,2.0,405.0,19011.234,0.2,0.0,8.0,361.45,80.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,5.9914646,10.819778
